Date,Drill,Athlete Identifier,Playing Position,Start Time,Duration,Participation,Distance Covered(m),Distance Zone 1,Distance Zone 2,Distance Zone 3,Distance Zone 4,Distance Zone 5,Distance Zone 6,Max Speed,Avg Speed,Max HR,Avg HR,HR Exertion,Time in HR Zone 1,Time in HR Zone 2,Time in HR Zone 3,Time in HR Zone 4,Time in HR Zone 5,Time in HR Zone 6,Speed Exertion,Sprint Count,Accelerations Zone 1,Accelerations Zone 2,Accelerations Zone 3,Decelerations Zone 1,Decelerations Zone 2,Decelerations Zone 3,New Bodyload,Impacts Zone 1,Impacts Zone 2,Impacts Zone 3,Impacts Zone 4,Impacts Zone 5,Impacts Zone 6,Running Series,Running Imbalance,Running Imbalance Standard Deviation,Running Symmetry Footstrikes,Metabolic Load Time Zone 1,Metabolic Load Time Zone 2,Metabolic Load Time Zone 3,Metabolic Load Time Zone 4,Metabolic Load Time Zone 5,Metabolic Load (relative),Metabolic Power Average,High-Metabolic-Power Distance,Equivalent Distance,Metabolic Load Distance Zone 1,Metabolic Load Distance Zone 2,Metabolic Load Distance Zone 3,Metabolic Load Distance Zone 4,Metabolic Load Distance Zone 5,Metabolic Load (absolute),Repeat Sprints,Sprint Max Acceleration,Sprint Total Distance,Work Rate Effort Count,Work Rate Effort Duration,Work Rate Effort Distance
22/10/15,Passing Practice,P03,Wide Defender,22/10/15 18:03,16.4,Full,1113.7,95,167.8,414,379,58,0,21.9,4.1,159,116.6,26.3,3.2,4,4.8,3.7,0.7,0,295.2,11,30,11,0,45,1,0,14.7,1255,162,9,0,0,0,3,3.7,0.4,37,4.6,2.6,1,0.2,0.1,5.9,6,317.1,1269.1,322,470.2,233.3,61.6,22.2,530.4,3,2.9,251.6,7,0.004861,701.8
22/10/15,Acceleration Runs,P03,Wide Defender,22/10/15 18:21,3.7,Full,388.3,10.6,202.5,12.3,39.7,96.6,26.7,25.8,6.3,150,123.1,6.2,0,1,1.6,1.1,0,0,124.6,4,0,1,3,1,4,0,3.5,186,27,9,0,0,0,0,0,0,0,2.5,0.1,0.1,0.2,0.1,2.1,9.3,140.6,447.6,222.2,24,44.3,57.7,38.7,187.1,0,3.3,149,3,0.002083,336.3
22/10/15,Combination Play,P03,Wide Defender,22/10/15 18:28,26.5,Full,1409.6,132.2,480.8,540.5,242.7,13.4,0,20.9,3.2,170,118.4,47.7,3.6,8.8,5.3,3.8,3.8,0,222.7,20,52,17,3,38,21,8,14.1,1431,108,6,3,0,0,0,0,0,0,8.5,2.7,0.9,0.3,0.1,7.4,4.7,291.3,1603.8,674.2,440.7,181.5,78.7,31.1,670.3,8,3.3,200.6,8,0.005556,821.5
22/10/15,11v11,P03,Wide Defender,22/10/15 18:59,12.1,Full,1342.9,102.7,432.5,440.1,278,85.4,4.2,25,6.7,176,140,39.7,0.6,1.3,1.7,3.9,3.8,0.7,270.2,8,37,7,1,41,9,4,14.8,1163,105,16,3,0,0,2,-4,0.2,32,7.2,2.3,1.1,0.3,0,6.9,9.5,366.3,1493.3,574.5,396.7,270.1,84.5,11.7,624.1,1,3.1,111.4,9,0.00625,1042
22/10/15,Warm Up,P04,Midfielder,22/10/15 17:54,3.9,Full,519.9,4.5,16.9,491.5,6.9,0,0,13.5,8,160,138.8,12.8,0,0.7,0.4,0.7,2.1,0,85.5,0,1,0,0,0,0,0,3,718,0,0,0,0,0,0,0,0,0,0.5,2.6,0.1,0,0,2.4,10.3,10,517.3,31.2,478.4,10,0,0,216.2,0,0,0,3,0.002083,459.5
22/10/15,Passing Practice,P04,Midfielder,22/10/15 18:03,16.4,Full,1113.8,77.5,193.1,323.6,455.5,64.2,0,21.8,4.1,178,145.6,75.8,0,1.6,3.1,2.7,4.9,4.2,317.4,21,34,18,3,50,8,2,13.4,1044,99,16,0,0,0,1,2.3,0,10,4.1,2,1.2,0.3,0.1,6.2,6.3,393.3,1344,313.7,402.3,260.9,92.2,40.2,561.7,11,4.1,311,7,0.004861,702.2
22/10/15,Acceleration Runs,P04,Midfielder,22/10/15 18:21,3.7,Full,355.3,13,175.5,10.6,33.2,81.9,41,26.2,5.7,171,156.5,20.9,0,0,0.4,0.2,1.8,1.3,136.7,4,0,0,4,0,4,0,3.6,185,25,7,1,0,0,0,0,0,0,2.4,0.1,0.1,0.1,0.1,2,9,129.2,434.6,198.9,25.6,33.1,53.2,42.9,181.6,0,4.1,137.8,2,0.001389,217.8
22/10/15,Combination Play,P04,Midfielder,22/10/15 18:28,26.5,Full,1150.3,86.3,389.8,335.6,318.3,13.3,7,25.3,2.6,188,136.9,101.7,0,4.4,9.8,3.4,2.2,6.5,228.6,17,34,15,2,26,7,14,13.5,970,66,21,3,1,0,0,0,0,0,6.3,1.9,0.9,0.3,0.1,6.2,3.9,319.3,1341.3,502.8,324.5,204.4,81.1,33.9,560.6,10,3.5,200,6,0.004167,709.3
22/10/15,11v11,P04,Midfielder,22/10/15 18:59,12.1,Full,1127.3,98.2,372.2,321.8,278.1,57.1,0,23.9,5.6,186,161.2,81.2,0,0,1.5,1.4,2.3,6.8,227,10,34,6,4,23,14,9,12,889,70,19,4,0,0,3,-4.5,1.4,41,6.3,2.1,0.7,0.2,0.1,5.9,8.2,270.2,1278.3,495.3,358.2,174.4,66.3,29.4,534.3,5,4.4,125.9,8,0.005556,878.5
22/10/15,Warm Up,P05,Wide Attacker,22/10/15 17:54,3.9,Full,515.6,5,41.1,464,5.4,0,0,12.6,8,170,134.3,9.2,0.6,0.8,0.3,1.6,0.6,0,80.2,0,3,0,0,4,0,0,11.1,676,239,0,0,0,0,0,0,0,0,0.8,2.3,0.1,0,0,2.3,9.9,13.2,499,80.5,421.8,13.2,0,0,208.6,0,0,0,3,0.002083,450.6
